日期,销售额,成本,利润,地区,产品线,月份,季度,客户数,客单价,增长率,利润率
2024-01-01T00:00:00,14279.240274338808,6902.170670082363,7945.11428755385,华北,企业软件,2024-01,Q1 2024,47,301.0655634732515,0.17896064077536958,55.6
2024-01-01T00:00:00,16853.718738181466,8151.621160887919,9006.91924477432,华北,云服务,2024-01,Q1 2024,45,325.9934933878067,0.004335987767110106,53.4
2024-01-01T00:00:00,9631.931829467523,4330.513504135816,5341.562220370921,华北,技术服务,2024-01,Q1 2024,40,276.307545813661,0.1732824384460777,55.5
2024-01-01T00:00:00,9067.592745185873,3795.8904346645563,4701.637207408281,华北,硬件设备,2024-01,Q1 2024,51,234.70547073787202,0.11878490091728361,51.9
2024-01-01T00:00:00,14704.556040084693,6762.051379084954,8278.295189129347,华东,企业软件,2024-01,Q1 2024,49,376.69492640853605,0.14112724560515946,56.3
2024-01-01T00:00:00,16526.88344314457,7089.595107173791,8479.318291524782,华东,云服务,2024-01,Q1 2024,51,286.18188180953604,0.10856841405949853,51.3
2024-01-01T00:00:00,12729.173938521586,5577.71520799261,6714.485139534451,华东,技术服务,2024-01,Q1 2024,45,212.63770657565615,0.11718091447842308,52.7
2024-01-01T00:00:00,9095.192575435603,4060.7232170452157,4621.518289506903,华东,硬件设备,2024-01,Q1 2024,56,148.1205653792058,0.14656400595580993,50.8
2024-01-01T00:00:00,12159.180107551289,5856.074122556519,6752.200227765918,华南,企业软件,2024-01,Q1 2024,45,255.773038008509,0.04468325129969859,55.5
2024-01-01T00:00:00,14332.53635032971,6917.404841365744,7401.338582022048,华南,云服务,2024-01,Q1 2024,60,259.7392544752026,0.06774401226974379,51.6
2024-01-01T00:00:00,12087.046416080388,5280.4303403731765,6339.778711904042,华南,技术服务,2024-01,Q1 2024,23,194.40428836349938,0.10435235341190857,52.5
2024-01-01T00:00:00,8635.37921353978,3419.320026434407,4529.973746889851,华南,硬件设备,2024-01,Q1 2024,53,132.59708735502744,0.07408648908631764,52.5
2024-01-01T00:00:00,9850.583005308017,4997.053899230006,5444.778485112839,华西,企业软件,2024-01,Q1 2024,44,183.22096015930003,0.10485387746740203,55.3
2024-01-01T00:00:00,13225.367603518474,6248.665621359388,7151.008254492001,华西,云服务,2024-01,Q1 2024,35,256.3460314383569,0.11305276360899447,54.1
2024-01-01T00:00:00,8886.388122094999,3784.609966890728,4710.331434723647,华西,技术服务,2024-01,Q1 2024,46,214.48967133455773,0.09193571441669955,53.0
2024-01-01T00:00:00,8375.82624413044,3527.176158572571,4009.4405569467076,华西,硬件设备,2024-01,Q1 2024,49,241.22627084462152,0.09867430622753916,47.9
2024-01-02T00:00:00,15701.009510810909,6529.864739728867,7942.124893871785,华北,企业软件,2024-01,Q1 2024,49,377.6604680223267,0.15714114072575103,50.6
2024-01-02T00:00:00,18206.11797327302,7835.932915961331,9982.411709538963,华北,云服务,2024-01,Q1 2024,35,318.7946586197077,0.20952278129049895,54.8
2024-01-02T00:00:00,10765.938746906277,5060.285724658548,5918.002165752167,华北,技术服务,2024-01,Q1 2024,34,217.99250925022804,0.04688481431369476,55.0
2024-01-02T00:00:00,9504.00910945385,5001.228790357145,5270.822099251621,华北,硬件设备,2024-01,Q1 2024,46,171.38886587969623,0.03845678417830224,55.5
2024-01-02T00:00:00,17228.04814487497,7063.7253704267205,9065.433198645127,华东,企业软件,2024-01,Q1 2024,52,286.6652461568548,0.03815246445609591,52.6
2024-01-02T00:00:00,17246.103475514992,7822.027749080017,9302.298915665655,华东,云服务,2024-01,Q1 2024,53,393.1766178743689,0.11161268485805019,53.9
2024-01-02T00:00:00,13526.09214818386,6880.458428248474,7657.3083664743535,华东,技术服务,2024-01,Q1 2024,38,245.4368652319752,0.051265916488633934,56.6
2024-01-02T00:00:00,12114.800616053726,5005.639052875231,6476.334304018144,华东,硬件设备,2024-01,Q1 2024,54,198.1343804348621,0.19483964913269738,53.5
2024-01-02T00:00:00,13126.651631150464,5880.981327167052,7192.522000281411,华南,企业软件,2024-01,Q1 2024,49,252.82036116923578,0.11383453996650096,54.8
2024-01-02T00:00:00,17139.468028187952,8236.2980987798,9279.797839968802,华南,云服务,2024-01,Q1 2024,77,304.54994977717035,0.05714212217918588,54.1
2024-01-02T00:00:00,10736.140759959206,4711.044936891871,5859.620878666406,华南,技术服务,2024-01,Q1 2024,54,213.00061163487564,0.057660314096579755,54.6
2024-01-02T00:00:00,7846.533089867492,3930.9059197380766,4438.623033286009,华南,硬件设备,2024-01,Q1 2024,37,155.99281528266326,0.11926586898644184,56.6
2024-01-02T00:00:00,10549.57500301655,4785.442844602068,5476.138161409394,华西,企业软件,2024-01,Q1 2024,53,188.33156365588488,0.15415256215876386,51.9
2024-01-02T00:00:00,13567.411096598364,6209.1866592605775,7868.718662783527,华西,云服务,2024-01,Q1 2024,55,258.4972350461338,0.29263657453273606,58.0
2024-01-02T00:00:00,10388.001898316492,4757.11583713567,5479.5820203996445,华西,技术服务,2024-01,Q1 2024,46,170.52042999780213,0.06135873927312141,52.7
2024-01-02T00:00:00,7128.025082168129,3380.2721146591275,4477.928696574152,华西,硬件设备,2024-01,Q1 2024,31,129.6231021675641,0.01936420644051741,62.8
2024-01-03T00:00:00,14968.820895002787,6404.162091468959,7823.918555192922,华北,企业软件,2024-01,Q1 2024,42,253.96773212019608,0.06348166841414317,52.3
2024-01-03T00:00:00,17814.31237142656,7679.866932557351,10344.968232500622,华北,云服务,2024-01,Q1 2024,56,598.0631667144353,0.10932271573847138,58.1
2024-01-03T00:00:00,12256.772869512766,4998.99150692379,6570.861185367674,华北,技术服务,2024-01,Q1 2024,55,201.68854325650773,0.03998517964721119,53.6
2024-01-03T00:00:00,9488.63113045495,4109.221630526644,5773.97423379289,华北,硬件设备,2024-01,Q1 2024,54,260.11773016009084,0.1458930973527388,60.9
